turfID,site,year,old,new,special,cover1,special2,cover2
L2-OTC,,2015,Ver.sze,Cli.pol,,,,
L4-OTC,,2015,,,,,,
L4-OTC,,2015,,,,,,
,,,,,,,,
M2-C,,2015,,,,,,
M2-O,,2015,Par.lat,You.rac,,,,
M3-O,,2015,,,,,,
M6-OTC,,2015,Agr.ner,Car.spp,,,,
M7-1,,2015,Kob.pyg,Car.spp,,,,
M7-OTC,,2015,Poa.spp,Fes.spp,,,,
A1-C,A,2012,Par.lat,Epi.fan,,,,
H4-C,H,2015,Sib.pen,Par.spp,,,,
A1-C,A,2012,Sau.glo,Par.lat,,,,
A1-C,A,2012,Cli.pol,Sau.glo,,,,
A3-2,H,2012,Pol.mac,Pol.viv,,,,
A3-OTC,A,2012,Mal.mon,Gal.spa,,,,
A4-1,M,2012,Pot.ste,Pot.leu,,,,
A4-2,H,2012,Pol.cya,Cya.inc,,,,
A4-2,H,2012,Mal.mon,Gal.spa,,,,
A5-2,H,2012,pol.cya,Cya.inc,,,,
A5-C,A,2012,Pot.ste,Pot.leu,,,,
A6-C,A,2012,Pot.ste,Pot.leu,,,,
A6-O,A,2012,Pot.ste,Pot.leu,,,,
A6-OTC,A,2012,Mal.mon,Gal.spa,,,,
A7-O,A,2012,Pot.ste,Pot.leu,,,,
H2-1,A,2012,Kob.pgy,Fes.spp,,,,
H3-1,A,2012,Cha.vir,Lig.sca,,,,
H3-1,A,2012,Kob.pgy,Fes.spp,,,,
H3-OTC,H,2012,Gen.cra,And.min,,,,
H4-3,L,2012,Oxy.yun,Hed.alg,,,,
H4-C,H,2012,Cya.inc,And.min,,,,
H5-OTC,H,2012,Sib.pen,Par.spp,,,,
H6-1,A,2012,Par.spp,Cal.pal,,,,
H6-1,A,2012,Sib.pen,Par.spp,,,,
H7-1,A,2012,Kob.pgy,Car.spp,,,,
H7-3,L,2012,Kob.pgy,Fes.spp,,,,
L6-2,M,2012,Fes.spp,Poa.spp,,,,
L7-C,L,2012,Agr.ner,Poa.spp,,,,
L7-OTC,L,2012,Aju.dec,Cli.pol,,,,
M1-1,L,2012,Hal.cor,Swe.mac,,,,
M1-C,M,2012,Hal.cor,Swe.mac,,,,
M2-2,A,2012,You.rac,Sau.pac,,,,
M2-O,M,2012,Hal.cor,Swe.mac,,,,
M3-OTC,M,2012,Hal.cor,Swe.mac,,,,
M4-2,L,2012,Hal.cor,Swe.mac,,,,
M4-O,M,2012,Hal.cor,Swe.mac,,,,
M5-OTC,M,2012,Hal.cor,Swe.mac,,,,
M6-2,A,2012,Cli.pol,Ver.sze,,,,
M6-O,M,2012,Cli.pol,Ver.sze,,,,
M6-O,M,2012,Ran.tan,Art.fla,,,,
M7-C,M,2012,Hal.cor,Swe.mac,,,,
A1-O,A,2013,Jun.him,Jun.leu,,,,
A1-O,A,2013,Pol.cir,Smi.jap,,,,
A3-2,H,2013,Pol.mac,Pol.viv,,,,
A3-O,A,2013,Sib.pen,Sor.hoo,,,,
A4-1,M,2013,Pot.ste,Pot.ste,,,,
A4-1,M,2013,Pot.ste,Pot.leu,,,,
A4-2,H,2013,Pol.cya,Cya.inc,,,,
A5-2,H,2013,pol.cya,Cya.inc,,,,
A5-C,A,2013,Pot.ste,Pot.leu,,,,
A6-C,A,2013,Pot.ste,Pot.leu,,,,
A6-O,A,2013,Pot.ste,Pot.leu,,,,
A7-O,A,2013,Kob.pgy,Fes.spp,,,,
A7-O,A,2013,Pot.ste,Pot.leu,,,,
H1-OTC,H,2013,Gen.tri,Cya.inc,,,,
H2-1,A,2013,Kob.pgy,Fes.spp,,,,
H2-3,L,2013,Gen.cra,Cya.inc,,,,
H2-OTC,H,2013,Gen.tri,Cya.inc,,,,
H2-OTC,H,2013,Lig.sca,Cha.vir,,,,
H3-OTC,H,2013,Gen.tri,Cya.inc,,,,
H3-OTC,H,2013,Saxifrage,Rho.fas,,,,
H3-OTC,H,2013,Sau.gra,Sau.cet,,,,
H3-OTC,H,2013,Gen.cra,And.min,,,,
H4-3,L,2013,Sib.pen,Par.spp,,,,
H4-OTC,H,2013,Saxifrage,Rho.fas,,,,
H5-1,A,2013,Oxy.yun,Hed.alg,,,,
H5-OTC,H,2013,Gen.cra,Cya.inc,,,,
H5-OTC,H,2013,Oxy.yun,Hed.alg,,,,
H5-OTC,H,2013,Sib.pen,Par.spp,,,,
H6-1,A,2013,Sib.pen,Par.spp,,,,
H7-1,A,2013,Kob.pgy,Car.spp,,,,
H7-3,L,2013,Sau.gra,Sau.cet,,,,
L4-4,H,2013,Oxy.yun,Hed.alg,,,,
L5-O,L,2013,Sag.jap,Gal.spp,,,,
L6-2,M,2013,Hal.cor,Swe.mac,,,,
L7-C,L,2013,Agr.ner,Poa.spp,,,,
L7-OTC,L,2013,Aju.dec,Cli.pol,,,,
M1-C,M,2013,Hal.cor,Swe.mac,,,,
M3-OTC,M,2013,Hal.cor,Swe.mac,,,,
M5-OTC,M,2013,Agr.ner,Car.spp,,,,
M6-O,M,2013,Cli.pol,Ver.sze,,,,
M7-1,L,2013,Pru.his,Cli.pol,,,,
M7-C,M,2013,Ped.sim,Ped.dav,,,,
M7-O,,,,,,,,
A1-1,M,2014,Mic.sik,Cli.pol,,,,
A2-1,M,2014,Pru.his,Cli.pol,,,,
A2-2,H,2014,Jun.him,Jun.leu,,,,
A3-2,H,2014,Oxy.yun,Hed.alg,,,,
