Date,Site,Elevation,Taxon_TNRS_corrected,Taxon_written_on_envelopes,Individual_Number,Leaf_Number,Leaf_Area_cm2,Wet_Mass_g,Wet_Mass_WeighingScale,Dry_Mass_g,Dry_Mass_WeighingScale,Leaf_Thickness_1_mm,Leaf_Thickness_2_mm,Leaf_Thickness_3_mm,Leaf_Thickness_4_mm,Leaf_Thickness_5_mm,Leaf_Thickness_6_mm,Leaf_Thickness_Ave_mm,SLA_cm2-g,LDMC,notes
20150820,L,3000,Buddleja nivea,Budeleia_nivea,1,3,12.429,0.1022,1,0.0681,1,0.44,0.401,0.204,,,,,182.5110132,0.666340509,
20150820,L,3000,Buddleja nivea,Budeleia_nivea,1,4,10.9094,0.0703,1,0.054,1,0.405,0.206,0.2,,,,,202.0259259,0.768136558,
20150820,L,3000,Buddleja nivea,Budeleia_nivea,1,5,2.4941,0.015,1,0.0129,1,0.185,,,,,,,193.3410853,0.86,
20150820,L,3000,Buddleja nivea,Budeleia_nivea,2,1,9.0008,0.1753,1,0.0491,1,0.875,0.362,0.243,0.249,,,,183.3156823,0.280091272,
20150820,L,3000,Buddleja nivea,Budeleia_nivea,2,2,7.5309,0.1696,1,0.0558,1,1.042,0.533,0.403,0.319,,,,134.9623656,0.329009434,
20150820,L,3000,Buddleja nivea,Budeleia_nivea,2,3,7.7663,0.1744,1,0.0556,1,0.914,0.433,0.337,0.307,,,,139.6816547,0.318807339,
20150820,L,3000,Buddleja nivea,Budeleia_nivea,2,4,8.1581,0.1745,1,0.0514,1,1.284,0.696,0.562,0.679,,,,158.7178988,0.294555874,
20150820,L,3000,Buddleja nivea,Budeleia_nivea,2,5,10.517,0.2303,1,0.065,1,1.164,0.377,0.254,0.268,,,,161.8,0.282240556,
20150820,L,3000,Buddleja nivea,Budeleia_nivea,3,1,4.0849,0.08,1,0.0272,1,0.754,0.426,0.315,0.374,,,,150.1801471,0.34,
20150820,L,3000,Buddleja nivea,Budeleia_nivea,3,2,6.5436,0.1406,1,0.0416,1,0.887,0.421,0.337,0.319,,,,157.2980769,0.295874822,
20150820,L,3000,Buddleja nivea,Budeleia_nivea,3,3,5.902,0.143,1,0.0444,1,0.891,0.524,0.358,0.372,,,,132.9279279,0.31048951,
20150820,L,3000,Buddleja nivea,Budeleia_nivea,3,4,8.4327,0.1846,1,0.0591,1,1.049,0.55,0.525,0.593,,,,142.6852792,0.320151679,
20150820,L,3000,Buddleja nivea,Budeleia_nivea,3,5,5.49,0.1294,1,0.0417,1,0.809,0.392,0.307,,,,,131.6546763,0.322256569,
20150820,L,3000,Buddleja nivea,Budeleia_nivea,4,1,2.8029,0.0522,1,0.0138,1,0.424,0.351,0.374,,,,,203.1086957,0.264367816,
20150820,L,3000,Buddleja nivea,Budeleia_nivea,4,2,2.5054,0.057,1,0.0168,1,0.508,0.284,0.324,,,,,149.1309524,0.294736842,
20150820,L,3000,Buddleja nivea,Budeleia_nivea,4,3,4.0424,0.0884,1,0.0246,1,0.9,0.673,0.536,,,,,164.3252033,0.278280543,
20150820,L,3000,Buddleja nivea,Budeleia_nivea,4,4,2.3857,0.0482,1,0.0146,1,0.667,0.489,0.374,,,,,163.4041096,0.302904564,
20150820,L,3000,Buddleja nivea,Budeleia_nivea,4,5,2.3037,0.0532,1,0.0172,1,0.453,0.343,0.351,,,,,133.9360465,0.323308271,
20150820,L,3000,Buddleja nivea,Budeleia_nivea,5,1,35.5351,0.6949,1,0.2192,1,1.844,0.599,0.408,0.36,,,,162.1126825,0.315441071,
