Date,Site,Plot,Plot_Type,Elevation,Taxon_TNRS_corrected,Taxon_written_on_envelopes,Individual_Number,Leaf_Number,Leaf_Area_cm2,Wet_Mass_g,Wet_Mass_WeighingScale,Dry_Mass_g,Dry_Mass_WeighingScale,Leaf_Thickness_1_mm,Leaf_Thickness_2_mm,Leaf_Thickness_3_mm,Leaf_Thickness_4_mm,Leaf_Thickness_5_mm,Leaf_Thickness_6_mm,Leaf_Thickness_Ave_mm,SLA_cm2-g,LDMC,notes
20150823,M,M6OTC,warming,3500,Poaceae sp1,Poaceae_sp1,2,1,10.8924,0.206,1,0.0795,1,0.318,0.306,0.296,,,,,137.0113208,0.38592233,
20150823,M,M6OTC,warming,3500,Poaceae sp1,Poaceae_sp1,3,1,9.5453,0.1079,1,0.0411,1,0.325,0.431,0.331,,,,,232.2457421,0.380908248,
20150823,M,M6OTC,warming,3500,Poaceae sp1,Poaceae_sp1,4,1,21.7822,0.408,1,0.1487,1,0.378,0.337,0.277,,,,,146.4841964,0.364460784,
20150823,M,M6OTC,warming,3500,Poaceae sp1,Poaceae_sp1,5,1,34.2276,0.577,1,0.2311,1,0.46,0.456,0.221,,,,,148.1073129,0.400519931,
20150820,M,M7C,control,3500,Poaceae sp1,Poaceae_sp1,1,1,9.7174,0.0001,1,0.1745,1,0.823,0.189,0.185,0.2,0.164,,,55.68710602,1745,
20150820,M,M7C,control,3500,Poaceae sp1,Poaceae_sp1,2,1,15.3975,0.0001,1,0.226,1,0.963,0.232,0.226,0.249,,,,68.13053097,2260,
20150820,M,M7C,control,3500,Poaceae sp1,Poaceae_sp1,3,1,16.857,0.0001,1,0.186,1,0.836,0.249,0.186,0.174,,,,90.62903226,1860,
20150820,M,M7C,control,3500,Poaceae sp1,Poaceae_sp1,4,1,4.6719,0.0001,1,0.0554,1,0.239,0.172,0.16,0.167,,,,84.33032491,554,
20150823,M,M3C,control,3500,Poaceae sp1,Poaceae_sp2,2,1,8.3031,0.093,2,0.0342,1,0.219,0.241,,,,,,242.7807018,0.367741935,
20150823,M,M3C,control,3500,Poaceae sp1,Poaceae_sp3,3,1,14.3461,0.183,2,0.0722,1,0.213,0.197,,,,,,198.699446,0.394535519,
20150823,M,M3C,control,3500,Poaceae sp1,Poaceae_sp4,4,1,13.9995,0.243,2,0.0786,1,0.315,0.209,,,,,,178.110687,0.32345679,
20150823,M,M22,transplant.up,3500,Polygonum viviparum,Polygonum_viviparum,2,1,19.0969,0.439,2,0.1463,1,0.324,0.288,0.286,,,,,130.5324675,0.333257403,
20150823,M,M22,transplant.up,3500,Polygonum viviparum,Polygonum_viviparum,3,1,8.457,0.121,2,0.0426,1,0.233,0.221,0.224,,,,,198.5211268,0.352066116,
20150823,M,M22,transplant.up,3500,Polygonum viviparum,Polygonum_viviparum,4,1,11.6397,0.224,2,0.0692,1,0.255,0.271,0.257,,,,,168.2037572,0.308928571,
20150823,M,M22,transplant.up,3500,Polygonum viviparum,Polygonum_viviparum,5,1,12.7697,0.233,2,0.0752,1,0.252,0.254,0.297,,,,,169.8098404,0.322746781,
20150820,M,M62,transplant.up,3500,Polygonum viviparum,Polygonum_viviparum,1,1,16.5735,0.4062,1,0.0986,1,0.357,0.341,0.261,,,,,168.0882353,0.242737568,
20150820,M,M62,transplant.up,3500,Polygonum viviparum,Polygonum_viviparum,2,1,13.9417,0.2926,1,0.0925,1,0.335,0.31,0.282,,,,,150.7210811,0.316131237,
20150820,M,M62,transplant.up,3500,Polygonum viviparum,Polygonum_viviparum,3,1,11.5817,0.2346,1,0.0678,1,0.257,0.289,0.232,,,,,170.8215339,0.289002558,
